user_id,initial_access,weekday,access_time,user_age,viewed_screens,screen_count,played_game,premium_features_used,subscription_status,subscription_date,engagement_score,device_type,os_version,location,referral_source,session_duration,purchases,total_spend,retention_days,customer_segment
1,2023-04-13,1,21:20,29,"library,home",13,1,1,1,2023-04-25,15,desktop,iOS 17,Oceania,friend,628,0,0.0,182,enterprise
2,2023-12-15,6,09:06,38,notifications,18,1,0,0,,73,desktop,Windows 11,Europe,organic,1614,4,290.18,20,premium
3,2023-09-28,3,04:24,25,"search,messages",4,0,0,1,2023-10-08,57,tablet,iOS 16,Europe,organic,798,2,43.9,133,basic
4,2023-04-17,3,03:16,45,"search,groups,help",2,1,1,1,2023-05-06,68,tablet,iOS 16,Africa,organic,752,3,147.22,58,free_tier
5,2023-03-13,0,04:16,39,checkout,17,1,1,1,2023-03-28,74,desktop,Android 12,North America,email,52,3,151.14,120,enterprise
6,2023-07-08,1,16:16,33,"profile,notifications,messages,friends,analytics",3,1,0,0,,99,desktop,Android 13,Europe,social_media,103,3,93.41,19,basic
7,2023-01-21,5,00:55,29,"messages,analytics,library,friends,search,profile,calendar",15,0,0,1,2023-02-14,22,mobile,Windows 11,North America,email,770,3,247.58,188,basic
8,2023-04-13,4,01:56,34,"friends,notifications,home,discover,analytics,groups,library,calendar,feed",11,0,0,1,2023-05-12,100,tablet,iOS 17,Europe,social_media,885,2,51.18,341,premium
9,2023-05-02,4,22:29,38,"help,analytics,profile,library,feed,home",9,1,0,1,2023-05-03,67,desktop,iOS 16,North America,social_media,1443,3,292.61,318,basic
10,2023-08-03,4,18:08,24,"settings,analytics,help,home,search,profile,notifications,messages",2,1,0,0,,92,mobile,macOS 14,Africa,paid_ad,1187,0,0.0,190,free_tier
11,2023-11-27,3,19:22,37,"checkout,search",6,0,0,1,2023-12-26,53,desktop,Android 12,North America,paid_ad,538,2,46.02,57,free_tier
12,2023-03-29,5,14:18,53,"search,friends,help,library,home",5,1,1,1,2023-03-31,72,mobile,Windows 11,Oceania,friend,1428,3,213.02,79,premium
13,2023-04-10,4,04:44,58,"notifications,settings,search,friends,messages,checkout,calendar,profile,home",12,1,0,1,2023-04-29,25,desktop,Android 12,Asia,friend,1457,4,209.64,360,enterprise
14,2023-12-26,1,03:12,61,"discover,search,groups,feed,calendar,messages,notifications",13,1,1,0,,57,tablet,iOS 16,Africa,paid_ad,1757,0,0.0,231,premium
15,2023-06-01,1,05:11,30,"help,search,settings,profile,checkout,friends,analytics",11,0,0,0,,13,desktop,macOS 14,South America,organic,911,1,88.53,194,free_tier
16,2023-05-11,4,08:14,58,"messages,feed,settings",11,0,0,0,,38,desktop,macOS 14,Oceania,paid_ad,221,3,88.68,116,premium
17,2023-05-30,2,20:14,46,"settings,friends,home",10,0,1,0,,78,desktop,Android 12,North America,paid_ad,1509,2,25.97,355,free_tier
18,2023-11-05,4,16:04,60,"search,analytics",5,0,1,0,,49,mobile,iOS 16,Africa,paid_ad,44,3,19.96,157,free_tier
19,2023-09-15,2,04:24,54,"library,calendar,help,feed,friends,settings,messages,profile,search",5,0,0,1,2023-09-23,65,desktop,iOS 17,Europe,email,1584,1,5.53,26,basic
20,2023-12-10,0,23:36,25,"notifications,calendar,home,checkout",6,1,1,0,,16,desktop,Android 12,Oceania,social_media,896,0,0.0,22,basic
21,2023-10-21,0,20:30,37,"analytics,profile,help,home,notifications,feed,friends,checkout,messages",9,1,1,0,,64,desktop,iOS 17,Europe,friend,862,1,85.01,99,premium
22,2023-07-11,1,13:33,61,"settings,checkout,profile,library",12,1,1,1,2023-07-26,81,tablet,iOS 16,Africa,organic,1251,1,70.05,142,basic
23,2023-10-04,5,08:13,27,"help,profile,home,settings,discover,notifications,messages,groups",3,0,0,1,2023-10-13,25,tablet,iOS 16,Oceania,paid_ad,439,0,0.0,356,basic
24,2023-06-10,3,14:03,32,groups,17,1,0,1,2023-06-30,56,desktop,Android 13,North America,social_media,376,2,28.48,25,basic
25,2023-11-10,5,22:57,29,checkout,15,1,0,1,2023-11-12,79,tablet,iOS 17,Europe,paid_ad,73,3,273.92,45,enterprise
26,2023-01-22,1,05:45,63,"discover,profile,search,help,settings,messages",3,1,1,0,,48,tablet,Windows 11,South America,friend,56,1,64.19,171,premium
27,2023-09-10,1,04:26,62,"calendar,notifications,messages,friends,checkout,help",19,0,0,0,,75,desktop,macOS 14,Africa,friend,1306,2,35.3,330,basic
28,2023-08-24,5,10:52,33,"messages,checkout,discover,groups,feed,profile,help",8,1,1,1,2023-09-18,13,mobile,Windows 11,Oceania,paid_ad,1178,0,0.0,320,free_tier
29,2023-12-11,3,13:06,59,"analytics,home,search,feed,notifications,settings,friends",5,1,0,0,,50,desktop,Windows 11,South America,organic,1447,2,75.74,29,enterprise
30,2023-02-18,1,13:44,25,"analytics,calendar,feed",6,0,0,1,2023-03-18,3,mobile,iOS 16,Asia,organic,1096,0,0.0,225,free_tier
31,2023-02-28,6,17:31,37,"checkout,help,settings,calendar,feed,home,discover,friends,messages",1,0,0,1,2023-03-10,28,mobile,iOS 16,North America,organic,476,3,93.91,361,free_tier
32,2023-06-19,6,01:40,31,"friends,checkout,library,messages,home,analytics,discover,groups,calendar",10,1,0,1,2023-07-04,37,desktop,Android 13,North America,friend,1766,3,82.88,71,basic
33,2023-07-07,3,10:19,54,"profile,analytics,groups",9,0,1,0,,90,tablet,iOS 17,Oceania,social_media,1340,1,69.13,8,free_tier
34,2023-09-28,1,10:25,43,"settings,friends,groups,profile,feed,notifications,help",13,1,1,0,,60,mobile,Android 12,Asia,email,92,1,84.35,358,basic
35,2023-07-09,6,05:00,55,"settings,library,checkout,groups",10,0,0,1,2023-07-25,94,mobile,Android 12,Oceania,friend,461,1,32.79,106,basic
36,2023-06-24,0,04:53,58,"help,messages,discover,friends,calendar,feed",7,0,0,1,2023-07-12,43,desktop,iOS 17,North America,email,143,0,0.0,204,premium
37,2023-02-20,2,13:24,62,"home,help,friends,library,discover,notifications",15,0,1,0,,79,mobile,iOS 16,Europe,friend,1703,2,118.33,268,free_tier
38,2023-12-30,1,15:08,46,"calendar,groups,messages,library,help",10,1,1,0,,23,tablet,macOS 14,Asia,email,1635,3,89.71,350,premium
39,2023-02-24,2,18:51,30,"home,notifications,library,help,friends,search",17,0,0,1,2023-03-21,70,desktop,Windows 11,Asia,social_media,1002,0,0.0,12,free_tier
40,2023-09-01,4,07:07,51,"analytics,calendar,help,search,settings,checkout,feed",1,0,1,0,,95,mobile,Android 12,Africa,paid_ad,168,1,40.43,128,premium
41,2023-11-16,6,15:49,39,"discover,profile",16,1,1,1,2023-11-29,22,tablet,Windows 11,Europe,social_media,420,4,260.35,162,free_tier
42,2023-05-11,1,07:22,62,"home,profile,library,calendar,checkout,settings,analytics",1,1,1,0,,52,desktop,Android 12,Europe,friend,1416,0,0.0,188,basic
43,2023-11-03,0,08:31,43,"feed,profile,calendar,analytics,checkout,help,friends",13,0,1,0,,82,tablet,iOS 17,South America,paid_ad,1570,3,26.95,33,free_tier
44,2023-05-15,3,04:33,51,"analytics,library,feed,messages,settings,profile,search",3,1,1,0,,70,desktop,iOS 17,Asia,email,1094,1,25.02,265,enterprise
45,2023-01-21,0,20:45,64,"calendar,checkout,profile,library,home",4,0,0,0,,3,tablet,iOS 16,South America,organic,941,0,0.0,57,premium
46,2023-11-25,2,17:44,41,"feed,checkout,analytics",14,0,0,1,2023-12-12,45,mobile,macOS 14,South America,paid_ad,150,2,177.68,46,premium
47,2023-06-16,3,11:14,38,"notifications,help,messages,discover,search",12,1,1,1,2023-07-13,12,mobile,macOS 14,Africa,organic,260,4,305.35,342,premium
48,2023-10-01,0,20:14,48,groups,4,0,1,1,2023-10-20,56,mobile,Android 13,Europe,paid_ad,672,3,149.7,55,premium
49,2023-03-30,0,22:22,29,"profile,groups,analytics,help,messages",5,1,1,0,,51,mobile,iOS 17,Asia,email,1685,3,285.28,71,enterprise
50,2023-11-12,0,00:56,59,"checkout,groups,settings",14,0,0,1,2023-11-16,36,desktop,iOS 17,Oceania,friend,1735,0,0.0,142,premium
51,2023-01-14,5,21:06,41,"library,friends,discover,home,feed,analytics,profile",19,0,1,1,2023-02-11,35,desktop,iOS 16,South America,social_media,888,0,0.0,188,enterprise
52,2023-08-30,3,12:31,38,"messages,profile,checkout,analytics",12,0,1,1,2023-09-23,82,mobile,Android 12,North America,organic,1588,0,0.0,42,premium
53,2023-09-22,0,17:31,21,"settings,groups,help,analytics,checkout,calendar",6,0,1,0,,77,mobile,iOS 16,Africa,social_media,1291,2,31.24,226,premium
54,2023-12-12,6,00:42,42,"groups,profile,help,home,calendar,feed",4,0,1,1,2023-12-26,55,tablet,macOS 14,Africa,organic,309,1,65.7,114,premium
55,2023-02-22,6,12:51,25,"feed,analytics,library,messages",12,0,1,1,2023-03-22,85,tablet,macOS 14,Oceania,paid_ad,1406,4,22.94,302,enterprise
56,2023-12-06,0,08:56,53,settings,1,0,1,0,,54,tablet,Android 13,Africa,social_media,398,4,384.93,244,free_tier
57,2023-04-02,2,15:42,51,"settings,profile,groups",6,0,1,1,2023-04-08,41,mobile,iOS 16,Europe,organic,1499,4,329.94,228,premium
58,2023-09-21,0,02:16,63,"calendar,analytics,messages",17,1,0,0,,11,tablet,Android 13,South America,paid_ad,120,1,3.1,127,enterprise
59,2023-02-04,6,01:31,44,"help,messages,profile,notifications,search,groups",3,1,0,1,2023-02-17,33,desktop,Windows 11,Africa,social_media,685,3,91.42,294,enterprise
60,2023-07-25,0,08:40,45,"checkout,friends,settings,messages,profile,analytics,discover,help",5,0,0,0,,45,tablet,Android 13,Oceania,social_media,1588,0,0.0,283,basic
61,2023-03-22,4,15:59,46,"friends,profile",7,0,0,1,2023-03-24,27,tablet,iOS 16,North America,organic,1768,3,223.97,350,premium
62,2023-02-19,3,00:56,46,"analytics,calendar,feed,search,friends,profile",9,1,0,0,,83,mobile,macOS 14,Europe,paid_ad,1396,2,175.36,338,enterprise
63,2023-12-26,4,16:41,27,"home,checkout,messages,discover,search,feed,settings",10,1,0,1,2024-01-12,75,desktop,iOS 16,Europe,organic,577,2,68.75,42,free_tier
64,2023-01-02,5,19:04,61,"calendar,help,groups",16,1,1,1,2023-01-08,57,tablet,macOS 14,Asia,email,1704,2,196.39,185,enterprise
65,2023-02-23,2,07:44,49,search,8,1,0,0,,33,mobile,Android 12,Africa,paid_ad,682,3,268.09,193,premium
66,2023-04-16,4,20:04,25,"notifications,discover",18,0,1,0,,57,tablet,iOS 17,Europe,friend,1265,3,140.53,255,premium
67,2023-09-17,5,03:56,34,"messages,groups,help,calendar,feed",18,0,0,1,2023-10-13,71,mobile,iOS 17,Africa,friend,1700,4,79.95,56,enterprise
68,2023-11-06,1,07:24,29,profile,14,1,1,1,2023-11-26,23,tablet,Windows 11,Oceania,social_media,1507,1,89.12,2,enterprise
69,2023-07-10,3,22:06,43,"profile,calendar,friends,library",15,0,0,0,,66,tablet,Android 12,Oceania,friend,1020,4,177.91,21,free_tier
70,2023-08-06,0,04:41,20,"messages,calendar,notifications,library,search,profile",10,0,1,0,,37,desktop,Android 12,Oceania,organic,857,3,277.35,354,free_tier
71,2023-02-13,4,16:27,59,groups,18,0,1,1,2023-03-11,40,mobile,Windows 11,North America,paid_ad,264,2,164.71,198,premium
72,2023-06-11,4,05:41,28,"notifications,groups,search,settings,feed,messages",18,1,0,1,2023-07-07,1,mobile,Android 13,Africa,organic,1149,3,21.53,296,premium
73,2023-07-21,0,15:53,31,"search,groups,library,friends,analytics,home,notifications,checkout",17,1,0,0,,81,tablet,Android 12,South America,social_media,695,4,37.26,60,enterprise
74,2023-09-27,0,09:35,24,feed,2,0,1,0,,58,desktop,Windows 11,South America,social_media,1263,4,278.09,291,enterprise
75,2023-12-17,2,01:30,43,"help,friends,checkout,groups,discover,library,calendar,messages",14,0,1,1,2023-12-28,70,mobile,iOS 16,Oceania,social_media,1282,3,108.72,33,enterprise
76,2023-10-31,4,00:02,54,"feed,calendar,settings,friends,groups,search,analytics,messages",2,0,0,1,2023-11-25,62,tablet,Android 12,North America,paid_ad,1099,0,0.0,343,premium
